1663555632.000000, 1663555632.000000, 1663555632.000000
32.000000, 32.000000, 32.000000
-22,-16,59
-22,-17,59
-21,-17,59
-21,-16,59
-22,-16,59
-21,-16,59
-22,-17,59
-21,-16,59
-21,-16,58
-21,-17,59
-21,-16,59
-21,-16,59
-21,-17,59
-22,-17,59
-22,-16,59
-22,-16,59
-21,-17,59
-22,-16,59
-21,-17,59
-21,-16,59
-22,-16,59
-21,-17,59
-21,-17,59
-21,-17,60
-21,-16,59
-21,-16,59
-22,-17,58
-22,-16,59
-21,-16,59
-21,-17,59
-21,-16,59
-21,-17,60
-21,-16,59
-21,-16,58
-22,-17,59
-21,-16,59
-22,-16,58
-21,-17,60
-21,-16,59
-21,-17,58
-21,-16,59
-21,-16,59
-22,-17,60
-21,-16,59
-21,-16,58
-22,-16,59
-21,-17,60
-22,-16,59
-21,-16,59
-21,-16,59
-21,-17,59
-21,-17,59
-21,-16,59
-21,-16,59
-21,-17,59
-22,-16,58
-22,-16,59
-22,-16,60
-21,-16,60
-22,-16,59
-21,-17,59
-22,-16,59
-21,-16,59
-21,-16,58
-21,-17,60
-22,-16,58
-21,-16,59
-22,-17,60
-21,-16,59
-21,-17,59
-22,-16,59
-21,-16,59
-21,-17,59
-22,-16,59
-21,-17,59
-21,-17,59
-21,-16,59
-21,-17,59
-21,-17,58
-22,-17,59
-21,-16,59
-22,-16,59
-22,-17,60
-21,-17,59
-21,-16,59
-21,-17,59
-21,-16,59
-21,-17,59
-22,-17,59
-21,-17,59
-21,-17,60
-21,-16,60
-21,-16,59
-21,-17,59
-21,-16,59
-22,-16,59
-21,-16,59
-21,-17,59
-22,-16,59
-22,-17,59
-22,-16,59
-21,-17,59
-21,-16,59
-22,-16,58
-22,-17,60
-21,-16,59
-22,-16,59
-22,-16,59
-22,-16,59
-21,-17,59
-21,-16,58
-21,-16,59
-22,-16,59
-22,-16,59
-22,-16,59
-21,-16,59
-22,-16,60
-22,-16,59
-21,-16,59
-21,-16,59
-22,-16,59
-22,-16,59
-21,-16,60
-22,-16,59
-22,-17,59
-21,-17,59
-22,-16,59
-22,-16,59
-21,-16,59
-21,-16,59
-22,-17,59
-21,-16,59
-21,-16,59
-22,-16,59
-22,-17,59
-21,-17,59
-22,-16,59
-21,-17,59
-21,-17,59
-21,-17,59
-22,-17,59
-21,-16,60
-22,-17,59
-21,-16,59
-21,-16,59
-21,-17,59
-21,-17,59
-21,-17,59
-22,-17,58
-22,-17,60
-21,-17,59
-21,-17,59
-21,-17,59
-21,-17,59
-21,-17,59
-21,-17,59
-21,-17,59
-21,-17,59
